key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,match_dt,home_slug,away_slug,is_world_cup,elo_home_pre,elo_away_pre,elo_diff_pre,elo_gap_pre,elo_home_exp,elo_away_exp,home_points_last5,home_gd_last5,home_rest_days,home_concede_first_rate,home_points_after_concede_first,home_late_concede_rate_75p,away_points_last5,away_gd_last5,away_rest_days,away_concede_first_rate,away_points_after_concede_first,away_late_concede_rate_75p,is_group_stage,is_knockout,elo_diff,elo_gap,points_last5_diff,gd_last5_diff,rest_days_diff,concede_first_rate_diff,points_after_concede_first_diff,late_concede_rate_75p_diff,underdog_is_home,y_upset_avoid_loss,y_upset
1,WC-1930,1930 FIFA Men's World Cup,M-1930-01,France vs Mexico,group stage,Group 1,1,0,0,0,1930-07-13,15:00,S-240,Estadio Pocitos,Montevideo,Uruguay,T-30,France,FRA,T-46,Mexico,MEX,4–1,4,1,3,-3,0,0,0-0,0,0,home team win,1,0,0,1930-07-13 15:00:00,france,mexico,1,1500.0,1500.0,0.0,0.0,0.5,0.5,,,-1.0,0.5,1.0,0.2,,,-1.0,0.5,1.0,0.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,WC-1930,1930 FIFA Men's World Cup,M-1930-02,United States vs Belgium,group stage,Group 4,1,0,0,0,1930-07-13,15:00,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-83,United States,USA,T-06,Belgium,BEL,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,1930-07-13 15:00:00,united_states,belgium,1,1500.0,1500.0,0.0,0.0,0.5,0.5,,,-1.0,0.5,1.0,0.2,,,-1.0,0.5,1.0,0.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,WC-1930,1930 FIFA Men's World Cup,M-1930-03,Yugoslavia vs Brazil,group stage,Group 2,1,0,0,0,1930-07-14,12:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-87,Yugoslavia,YUG,T-09,Brazil,BRA,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1930-07-14 12:45:00,yugoslavia,brazil,1,1500.0,1500.0,0.0,0.0,0.5,0.5,,,-1.0,0.5,1.0,0.2,,,-1.0,0.5,1.0,0.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,WC-1930,1930 FIFA Men's World Cup,M-1930-04,Romania vs Peru,group stage,Group 3,1,0,0,0,1930-07-14,14:50,S-240,Estadio Pocitos,Montevideo,Uruguay,T-61,Romania,ROU,T-56,Peru,PER,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1930-07-14 14:50:00,romania,peru,1,1500.0,1500.0,0.0,0.0,0.5,0.5,,,-1.0,0.5,1.0,0.2,,,-1.0,0.5,1.0,0.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,WC-1930,1930 FIFA Men's World Cup,M-1930-05,Argentina vs France,group stage,Group 1,1,0,0,0,1930-07-15,16:00,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,Argentina,ARG,T-30,France,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1930-07-15 16:00:00,argentina,france,1,1500.0,1510.0,-10.0,10.0,0.48561281583400134,0.5143871841659986,,,-1.0,0.5,1.0,0.2,3.0,3.0,2.0,0.5,1.0,0.2,1,0,-10.0,10.0,0.0,0.0,-3.0,0.0,0.0,0.0,1,1,1
6,WC-1930,1930 FIFA Men's World Cup,M-1930-06,Chile vs Mexico,group stage,Group 1,1,0,0,0,1930-07-16,14:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,Chile,CHL,T-46,Mexico,MEX,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,1930-07-16 14:45:00,chile,mexico,1,1500.0,1490.0,10.0,10.0,0.5143871841659987,0.4856128158340013,,,-1.0,0.5,1.0,0.2,0.0,-3.0,2.0,0.5,1.0,0.2,1,0,10.0,10.0,0.0,0.0,-3.0,0.0,0.0,0.0,0,0,0
7,WC-1930,1930 FIFA Men's World Cup,M-1930-07,Yugoslavia vs Bolivia,group stage,Group 2,1,0,0,0,1930-07-17,12:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-87,Yugoslavia,YUG,T-07,Bolivia,BOL,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,1930-07-17 12:45:00,yugoslavia,bolivia,1,1510.0,1500.0,10.0,10.0,0.5143871841659987,0.4856128158340013,3.0,1.0,3.0,0.5,1.0,0.2,,,-1.0,0.5,1.0,0.2,1,0,10.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0
8,WC-1930,1930 FIFA Men's World Cup,M-1930-08,United States vs Paraguay,group stage,Group 4,1,0,0,0,1930-07-17,14:45,S-239,Estadio Gran Parque Central,Montevideo,Uruguay,T-83,United States,USA,T-55,Paraguay,PRY,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,1930-07-17 14:45:00,united_states,paraguay,1,1510.0,1500.0,10.0,10.0,0.5143871841659987,0.4856128158340013,3.0,3.0,3.0,0.5,1.0,0.2,,,-1.0,0.5,1.0,0.2,1,0,10.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0
9,WC-1930,1930 FIFA Men's World Cup,M-1930-09,Uruguay vs Peru,group stage,Group 3,1,0,0,0,1930-07-18,14:30,S-238,Estadio Centenario,Montevideo,Uruguay,T-84,Uruguay,URY,T-56,Peru,PER,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1930-07-18 14:30:00,uruguay,peru,1,1500.0,1490.0,10.0,10.0,0.5143871841659987,0.4856128158340013,,,-1.0,0.5,1.0,0.2,0.0,-2.0,3.0,0.5,1.0,0.2,1,0,10.0,10.0,0.0,0.0,-4.0,0.0,0.0,0.0,0,0,0
10,WC-1930,1930 FIFA Men's World Cup,M-1930-10,Chile vs France,group stage,Group 1,1,0,0,0,1930-07-19,12:50,S-238,Estadio Centenario,Montevideo,Uruguay,T-13,Chile,CHL,T-30,France,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1930-07-19 12:50:00,chile,france,1,1509.71225631668,1499.71225631668,10.0,10.0,0.5143871841659987,0.4856128158340013,3.0,3.0,2.0,0.5,1.0,0.2,3.0,2.0,3.0,0.5,1.0,0.2,1,0,10.0,10.0,0.0,1.0,-1.0,0.0,0.0,0.0,0,0,0
