Nation_code,nation,player_count,age,overall_rating,potential,score_mean,score_median,score_top1,score_wavg_by_minutes,best_player_score,robust_z_mean,robust_z_median,top11_mean,top3_mean,depth12_23_mean,player_based_score,depth12_23_avg_score,depth12_23_sum_score,depth12_23_min_score,depth12_23_max_score,depth12_23_minutes90_sum,star3_avg_score,star3_sum_score,star3_min_score,star3_max_score,star3_minutes90_sum,xi_score_sum,xi_score_mean,xi_score_median,xi_score_min,xi_score_max,xi_minutes90_sum,team_slug_raw,team_slug,nation_fc26,fk_accuracy,total_mentality,ball_control,volleys,wage,best_overall,total_goalkeeping,player_id,total_defending,overall_rating_fc26,crossing,heading_accuracy,long_passing,joined,dribbling,acceleration,finishing,potential_fc26,weight,base_stats,total_attacking,sprint_speed,total_movement,height,growth,release_clause,value,agility,curve,total_skill,total_power,birth_year,age_fc26,total_stats,short_passing,player_count_fc26,fc_invalid_row,fc_row_sig,fc26_merge_status
ARG,argentina,26.0,27.115384615384617,81.11538461538461,83.6923076923077,22.607411666160623,22.941711229946527,44.29411255411255,22.331046082513247,44.29411255411255,-0.4974721169552801,-0.4285539817207558,36.69894218680778,42.01480391391626,27.26012651991829,35.668203701862524,27.2601265199183,327.1215182390196,22.941711229946527,30.47071895424837,254.1,42.01480391391626,126.04441174174876,39.748163265306125,44.29411255411255,68.2,403.6883640548856,36.69894218680778,35.6623645320197,32.3114553314121,44.29411255411255,279.2,argentina,argentina,argentina,55.57692307692308,331.88461538461536,74.03846153846153,56.57692307692308,63.84615384615385,82.07692307692308,90.6153846153846,232978.65384615384,177.69230769230768,81.11538461538461,62.07692307692308,62.26923076923077,71.73076923076923,142407.34615384616,69.61538461538461,71.42307692307692,60.07692307692308,83.6923076923077,75435.19230769231,435.5,316.2307692307692,68.93766654049882,366.6538461538461,49011.96153846154,2.576923076923077,63.18076923076923,33.48461538461539,67.79040318635815,63.65384615384615,334.61538461538464,355.7307692307692,1997.423076923077,27.115384615384617,1973.423076923077,75.23076923076923,26.0,False,e3948e67d7df165cbfabe91709ad29cd28abd63d906a93a6914d081e49329b8c,ok
BEL,belgium,26.0,27.115384615384617,81.11538461538461,83.6923076923077,22.937810585955248,23.617894736842107,69.75411764705883,21.700342888818504,69.75411764705883,-0.1657813879559481,-0.6873200911034407,37.980329912399625,59.41695007569884,20.784837392968907,39.04061182336675,20.784837392968903,249.41804871562684,13.211452991452992,25.140980392156862,238.3,59.41695007569884,178.25085022709652,41.90944444444444,69.75411764705883,53.8,417.78362903639584,37.98032991239962,31.72571428571429,25.50797687861272,69.75411764705883,204.7,belgium,belgium,belgium,55.57692307692308,331.88461538461536,74.03846153846153,56.57692307692308,63.84615384615385,82.07692307692308,90.6153846153846,232978.65384615384,177.69230769230768,81.11538461538461,62.07692307692308,62.26923076923077,71.73076923076923,142407.34615384616,69.61538461538461,71.42307692307692,60.07692307692308,83.6923076923077,75435.19230769231,435.5,316.2307692307692,68.93766654049882,366.6538461538461,49011.96153846154,2.576923076923077,63.18076923076923,33.48461538461539,67.79040318635815,63.65384615384615,334.61538461538464,355.7307692307692,1997.423076923077,27.115384615384617,1973.423076923077,75.23076923076923,26.0,False,e3948e67d7df165cbfabe91709ad29cd28abd63d906a93a6914d081e49329b8c,ok
BRA,brazil,26.0,25.65384615384616,82.5,85.38461538461539,24.52656830255333,24.13819516740569,57.91086580086579,23.84798581336696,57.91086580086579,-0.5446586482824192,-1.0672998466889816,43.23513312448071,52.83724454691846,33.99718536880163,43.32617404117038,33.99718536880163,407.9662244256196,29.36791666666667,36.81573770491804,258.0,52.83724454691846,158.51173364075538,50.059082125603865,57.91086580086579,66.2,475.5864643692879,43.23513312448071,40.15550200803214,37.27034013605442,57.91086580086579,231.6,brazil,brazil,brazil,52.92307692307692,333.34615384615387,75.0,54.11538461538461,114.8846153846154,83.42307692307692,92.8846153846154,224790.88461538465,181.73076923076923,82.5,62.34615384615385,4.0,72.61538461538461,138560.1923076923,71.57692307692308,70.53446151229903,60.26923076923077,85.38461538461539,78056.38461538461,442.11538461538464,319.4230769230769,68.93766654049882,364.5384615384616,49289.42307692308,2.8846153846153846,88.0923076923077,44.88461538461539,67.79040318635815,64.1923076923077,336.3076923076923,360.61538461538464,1998.8846153846157,25.653846153846157,1988.8461538461536,76.15384615384616,26.0,False,86f18c8f698faf1b42ec491f99f65fc5f9d82b2a0ee1911b6fdf833f13aa0faa,ok
ENG,england,26.0,25.192307692307693,83.3076923076923,85.65384615384616,23.2995997804931,22.27863636363636,58.00206751054852,23.02270685439344,58.00206751054852,0.309520580812671,-1.1676426026834648,47.94213934443307,55.77562880285486,36.76814119836961,47.10701217252266,36.768141198369605,441.21769438043526,34.94970873786408,39.85709677419355,290.5,55.77562880285486,167.32688640856458,52.465246913580245,58.00206751054852,81.8,527.3635327887638,47.94213934443307,46.76761904761905,40.17706896551724,58.00206751054852,218.1,england,england,england,58.34615384615385,335.8076923076923,76.76923076923077,57.30769230769231,129.96153846153845,84.38461538461539,90.1153846153846,239460.3076923077,181.73076923076923,83.3076923076923,70.34615384615384,63.73076923076923,75.5,113175.42307692308,73.15384615384616,73.11538461538461,62.23076923076923,85.65384615384616,77015.5,448.7692307692308,331.96153846153845,68.93766654049882,374.5769230769231,74424.53846153847,3.5258647641841625,98.20384615384616,51.19230769230769,67.79040318635815,70.34615384615384,354.11538461538464,362.4230769230769,1999.2692307692307,25.192307692307693,2030.7307692307693,78.34615384615384,26.0,False,85ffe564e6f71dfe91e0e89e46f0bd40cf30b2d663f336dd89b215e06d473c96,ok
FRA,france,26.0,25.807692307692307,84.23076923076923,86.34615384615384,24.96819454692449,24.850303030303028,67.75065868263474,24.19964739176993,67.75065868263474,-0.1538385655500093,-0.8816025657279717,50.83159654406816,59.59127219245719,41.8750151910733,50.7823701179167,41.87501519107331,502.5001822928797,40.452352941176464,43.71738317757009,249.7,59.59127219245719,178.77381657737158,51.04315789473685,67.75065868263474,44.3,559.1475619847497,50.83159654406816,48.97729323308271,44.30661971830986,67.75065868263474,197.6,france,france,france,51.30769230769231,330.2307692307692,77.1923076923077,56.46153846153846,125.0,85.3076923076923,90.1153846153846,236915.6923076923,183.03846153846155,84.23076923076923,65.03846153846153,64.11538461538461,72.3076923076923,109715.53846153848,73.65384615384616,76.8076923076923,61.69230769230769,86.34615384615384,80253.46153846153,453.8076923076923,325.9230769230769,77.96153846153847,381.7692307692308,62044.07692307692,3.5258647641841625,110.8076923076923,58.78846153846154,73.42307692307692,64.92307692307692,339.38461538461536,368.2692307692308,1998.7307692307693,25.807692307692307,2018.7307692307693,78.61538461538461,26.0,False,843d9e19f1fb6ceb7d75d1028fb95956a272c0d59da7d673639fcee3cac900ba,ok
GER,germany,26.0,26.15384615384616,82.61538461538461,84.73076923076923,22.311879603354843,22.46333333333333,79.41545454545455,21.52923942447754,79.41545454545455,0.2101493847037238,-0.8850987550853361,49.19483347310867,60.86336987687637,38.75799793463908,49.50275868943319,38.75799793463908,465.09597521566894,36.28237623762376,41.30589743589744,249.8,60.86336987687637,182.59010963062912,51.2101652892562,79.41545454545455,75.1,541.1431682041954,49.19483347310867,46.361525423728814,41.562543859649125,79.41545454545455,262.2,germany,germany,germany,54.26923076923077,318.46153846153845,74.1923076923077,59.0,78.38461538461539,83.57692307692308,91.03846153846152,236597.53846153847,173.30769230769232,82.61538461538461,65.3076923076923,64.0,71.38461538461539,75098.73076923077,73.3076923076923,73.8076923076923,61.26923076923077,84.73076923076923,81294.23076923077,442.6538461538461,325.7692307692308,74.26923076923077,372.96153846153845,55984.807692307695,3.5258647641841625,76.60384615384615,43.50769230769231,67.79040318635815,64.3076923076923,337.46153846153845,364.5769230769231,1998.5384615384612,26.153846153846157,1983.576923076923,76.1923076923077,26.0,False,045ea0235d60cefd5a02b5cafb49c3c9135e2eaef0687eb8ed91cb6bb077a96c,ok
CIV,ivory coast,25.0,23.64,79.04,83.84,23.837160826116392,25.23528594771242,39.55109489051095,24.03040852819808,39.55109489051095,-0.3460435522335661,0.6144534874909382,30.28472874629905,36.79661082290741,13.70526838011506,27.767834173905143,13.70526838011506,95.93687866080543,4.178582995951417,21.337222222222223,126.4,36.79661082290741,110.3898324687222,33.80363636363636,39.55109489051095,60.4,333.13201620928965,30.28472874629906,28.80056680161944,24.19130057803468,39.55109489051095,237.1,ivory_coast,ivory_coast,ivory coast,46.84,299.84,73.12,54.44,53.84,80.52,74.72,242626.32,164.2,79.04,60.88,62.72,68.16,130423.48,72.44,74.08,59.24,83.84,78773.28,421.72,311.8,76.12,366.36,51031.36,4.8,52.784,27.36,67.79040318635815,60.4,320.96,353.04,2000.84,23.64,1890.92,74.52,25.0,False,da3b6bff15c4d6dcfab41e55b29c053a398abbc2578aaef84023c8da4eae709e,ok
NED,netherlands,26.0,25.692307692307693,81.46153846153847,83.76923076923077,24.78701511935018,22.42577181208054,67.47,24.024994822944706,67.47,2.444371262349407,-0.9082830752207348,43.760824468335066,57.90032350437273,25.11533358563548,42.63432650666959,25.11533358563548,301.38400302762574,21.96402985074627,31.57349726775956,250.3,57.90032350437273,173.7009705131182,47.14876712328767,67.47,83.7,481.3690691516857,43.760824468335066,42.03428571428572,32.042258064516126,67.47,226.9,netherlands,netherlands,netherlands,55.96153846153846,319.34615384615387,74.8076923076923,57.07692307692308,91.84615384615384,82.53846153846153,90.3076923076923,240504.5,170.0,81.46153846153847,64.0,62.23076923076923,69.46153846153847,106254.07692307692,71.92307692307692,74.8076923076923,63.38461538461539,83.76923076923077,76398.84615384616,441.61538461538464,321.7307692307692,74.07692307692308,369.38461538461536,68234.53846153847,3.5258647641841625,62.23076923076923,34.05769230769231,67.79040318635815,64.96153846153847,337.11538461538464,361.0,1999.0384615384612,25.692307692307693,1968.8846153846157,75.03846153846153,26.0,False,e4e457d0b0025dbe03fe047385229a69691028471c3d0061dda8e7c65f63e27f,ok
POR,portugal,26.0,26.692307692307693,82.38461538461539,84.65384615384616,24.85385054838735,24.642634560906515,49.30030303030304,23.287903225806453,49.30030303030304,2.6602388511789856,1.0498091545716468,42.374853563462416,47.66548368701033,30.69801705062645,40.7783019661404,30.69801705062645,368.3762046075174,23.626338028169016,37.95851711026616,283.3,47.66548368701033,142.996451061031,45.61593220338983,49.30030303030304,64.6,466.12338919808656,42.374853563462416,42.24993006993007,38.03886597938144,49.30030303030304,221.2,portugal,portugal,portugal,56.96153846153846,330.4230769230769,75.07692307692308,60.07692307692308,79.92307692307692,83.1923076923077,91.23076923076924,232176.03846153847,175.5,82.38461538461539,66.34615384615384,61.92307692307692,73.0,143175.8076923077,72.53846153846153,71.96153846153847,61.23076923076923,84.65384615384616,76668.65384615384,441.5769230769231,326.2307692307692,71.65384615384616,368.38461538461536,49401.0,3.5258647641841625,79.70769230769231,43.62307692307692,67.79040318635815,67.0,344.5769230769231,361.7692307692308,1997.8076923076924,26.692307692307693,1998.1153846153843,76.65384615384616,26.0,False,4917ef2ac5c575b2f857976463606267702b18ac32d363fbc771b69366b26e11,ok
ESP,spain,26.0,25.692307692307693,84.11538461538461,86.26923076923077,24.056718217207543,24.454115911154567,56.03117647058824,23.36085668125485,56.03117647058824,-0.3719887378939376,-0.985092462468593,50.39680056338643,54.16545434329132,41.43934390649601,49.09959984414005,41.439343906496,497.272126877952,38.30157024793389,47.114885496183206,203.3,54.16545434329132,162.49636302987398,50.728132295719846,56.03117647058824,68.5,554.3648061972507,50.39680056338643,50.24464052287582,47.15040816326531,56.03117647058824,241.1,spain,spain,spain,56.92307692307692,336.46153846153845,77.38461538461539,57.69230769230769,107.23076923076924,85.23076923076923,94.3076923076923,243251.53846153847,183.23076923076923,84.11538461538461,64.88461538461539,63.69230769230769,76.34615384615384,68944.80769230769,72.92307692307692,72.03846153846153,64.0,86.26923076923077,75627.92307692308,449.5384615384616,330.15384615384613,71.65384615384616,369.7307692307692,49624.11538461538,3.5258647641841625,116.3846153846154,56.01923076923077,73.15384615384616,65.07692307692308,348.65384615384613,362.2692307692308,1998.9615384615383,25.692307692307693,2024.8076923076924,79.88461538461539,26.0,False,8944f32003c9d77a3df1ce7efdc2f46bb13997383430be213705a7a1a5bf6b0e,ok
