tournament_id,match_id,match_date,stage_name,home_team_name,away_team_name,elo_home,elo_away,elo_diff,home_points_last5,away_points_last5,home_gd_last5,away_gd_last5,home_winrate_last10,away_winrate_last10,home_concede_first_rate,away_concede_first_rate,home_points_after_concede_first,away_points_after_concede_first,home_late_concede_rate_75p,away_late_concede_rate_75p,home_rest_days,away_rest_days,is_group_stage,is_knockout,y_upset_avoid_loss
WC-2018,M-2018-01,2018-06-14,group stage,Russia,Saudi Arabia,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,0
WC-2018,M-2018-02,2018-06-15,group stage,Egypt,Uruguay,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,1
WC-2018,M-2018-03,2018-06-15,group stage,Morocco,Iran,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,1
WC-2018,M-2018-04,2018-06-15,group stage,Portugal,Spain,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,1
WC-2018,M-2018-05,2018-06-16,group stage,France,Australia,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,0
WC-2018,M-2018-06,2018-06-16,group stage,Argentina,Iceland,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,1
WC-2018,M-2018-07,2018-06-16,group stage,Peru,Denmark,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,1
WC-2018,M-2018-08,2018-06-16,group stage,Croatia,Nigeria,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,0
WC-2018,M-2018-09,2018-06-17,group stage,Costa Rica,Serbia,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,1
WC-2018,M-2018-10,2018-06-17,group stage,Germany,Mexico,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,0.5,1.0,1.0,0.0,0.0,-1,-1,1,0,1
