key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id_x,home_team_name,home_team_code,away_team_id_x,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,match_dt,match_time_clean,elo_home,elo_away,elo_diff,home_team_id_y,home_points_last5,home_gd_last5,home_winrate_last10,home_concede_first_rate,home_points_after_concede_first,home_late_concede_rate_75p,home_rest_days,away_team_id_y,away_points_last5,away_gd_last5,away_winrate_last10,away_concede_first_rate,away_points_after_concede_first,away_late_concede_rate_75p,away_rest_days,underdog_is_home,y_upset_avoid_loss,y_home_win,y_draw,y_away_win,is_group_stage,is_knockout
1069,WC-2018,2018 FIFA Men's World Cup,M-2018-01,Russia vs Saudi Arabia,group stage,Group A,1,0,0,0,2018-06-14,18:00,S-150,Luzhniki Stadium,Moscow,Russia,T-62,Russia,RUS,T-63,Saudi Arabia,SAU,5–0,5,0,5,-5,0,0,0-0,0,0,home team win,1,0,0,2018-06-14,18:00,1500.0,1500.0,0.0,T-62,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-63,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,0,1,0,0,1,0
1070,WC-2018,2018 FIFA Men's World Cup,M-2018-02,Egypt vs Uruguay,group stage,Group A,1,0,0,0,2018-06-15,17:00,S-159,Central Stadium,Yekaterinburg,Russia,T-26,Egypt,EGY,T-84,Uruguay,URY,0–1,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-15,17:00,1500.0,1500.0,0.0,T-26,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-84,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,0,1,1,0
1071,WC-2018,2018 FIFA Men's World Cup,M-2018-03,Morocco vs Iran,group stage,Group B,1,0,0,0,2018-06-15,18:00,S-154,Krestovsky Stadium,Saint Petersburg,Russia,T-47,Morocco,MAR,T-38,Iran,IRN,0–1,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-15,18:00,1500.0,1500.0,0.0,T-47,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-38,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,0,1,1,0
1072,WC-2018,2018 FIFA Men's World Cup,M-2018-04,Portugal vs Spain,group stage,Group B,1,0,0,0,2018-06-15,21:00,S-157,Fisht Olympic Stadium,Sochi,Russia,T-58,Portugal,PRT,T-73,Spain,ESP,3–3,3,3,0,0,0,0,0-0,0,0,draw,0,0,1,2018-06-15,21:00,1500.0,1500.0,0.0,T-58,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-73,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,1,0,1,0
1073,WC-2018,2018 FIFA Men's World Cup,M-2018-05,France vs Australia,group stage,Group C,1,0,0,0,2018-06-16,13:00,S-149,Kazan Arena,Kazan,Russia,T-30,France,FRA,T-04,Australia,AUS,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,2018-06-16,13:00,1500.0,1500.0,0.0,T-30,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-04,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,0,1,0,0,1,0
1074,WC-2018,2018 FIFA Men's World Cup,M-2018-06,Argentina vs Iceland,group stage,Group D,1,0,0,0,2018-06-16,16:00,S-151,Otkritie Arena,Moscow,Russia,T-03,Argentina,ARG,T-37,Iceland,ISL,1–1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,2018-06-16,16:00,1500.0,1500.0,0.0,T-03,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-37,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,1,0,1,0
1075,WC-2018,2018 FIFA Men's World Cup,M-2018-07,Peru vs Denmark,group stage,Group C,1,0,0,0,2018-06-16,19:00,S-156,Mordovia Arena,Saransk,Russia,T-56,Peru,PER,T-22,Denmark,DNK,0–1,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-16,19:00,1500.0,1500.0,0.0,T-56,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-22,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,0,1,1,0
1076,WC-2018,2018 FIFA Men's World Cup,M-2018-08,Croatia vs Nigeria,group stage,Group D,1,0,0,0,2018-06-16,21:00,S-148,Kaliningrad Stadium,Kaliningrad,Russia,T-18,Croatia,HRV,T-50,Nigeria,NGA,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,2018-06-16,21:00,1500.0,1500.0,0.0,T-18,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-50,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,0,1,0,0,1,0
1077,WC-2018,2018 FIFA Men's World Cup,M-2018-09,Costa Rica vs Serbia,group stage,Group E,1,0,0,0,2018-06-17,16:00,S-155,Samara Arena,Samara,Russia,T-17,Costa Rica,CRI,T-66,Serbia,SRB,0–1,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-17,16:00,1500.0,1500.0,0.0,T-17,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-66,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,0,1,1,0
1078,WC-2018,2018 FIFA Men's World Cup,M-2018-10,Germany vs Mexico,group stage,Group F,1,0,0,0,2018-06-17,18:00,S-150,Luzhniki Stadium,Moscow,Russia,T-31,Germany,DEU,T-46,Mexico,MEX,0–1,0,1,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-17,18:00,1500.0,1500.0,0.0,T-31,0.0,0.0,0.33,0.5,1.0,0.0,-1,T-46,0.0,0.0,0.33,0.5,1.0,0.0,-1,0,1,0,0,1,1,0
