nation,web_scraper_order,web_scraper_start_url,name,team_contract,best_position,club_position,team_contract2,birth_year,acceleration_type,total_stats,data,height,weight,joined,value,wage,release_clause,body_type,total_attacking,total_skill,total_movement,total_power,total_mentality,total_defending,total_goalkeeping,base_stats,name2,name3,name4,name5,playstyles,playstyles2,playstyles3,playstyles4,playstyles5,age,overall_rating,potential,best_overall,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,image,playstyles_+,growth,agility,heading_accuracy2,reactions,balance,shot_power,jumping,phone,foot,loan_date_end,attacking_work_rate,defensive_work_rate,real_face,team_contract4,weak_foot,skill_moves,international_reputation,image2,team_contract3,overall_rating2,short_passing2,dribbling2,ball_control2,sprint_speed2,penalties,stamina,strength,long_shots,aggression,name7,name6,name8,interceptions,attack_position
algeria,1771703638-1,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,L. Zidane,Granada CF,GK,GK,2024 ~ 2027,1998,Controlled,1064,240311.0,"183cm 6'0""",78kg 172lbs,"Jul 10, 2024",€1.3M,€3K,€2.1M,Lean (170-185),78,79,240,193.0,106.0,37,331.0,368,GK,,,,Far throw,Footwork,,,,27,68.0,72.0,68.0,12.0,8.0,12.0,40.0,6.0,12.0,14.0,11.0,20.0,22.0,29.0,50.0,https://cdn.sofifa.net/players/240/311/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,1771703638-2,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,R. Belghali,Hellas Verona FC,RM,RB,2025 ~ 2029,2002,Controlled,1907,276314.0,"186cm 6'1""",73kg 161lbs,"Aug 19, 2025",€2.1M,€7K,€3.9M,Lean (185+),322,324,365,328.0,315.0,203,50.0,411,RB,RM,,,,,,,,23,70.0,74.0,72.0,69.0,64.0,60.0,69.0,60.0,72.0,62.0,56.0,64.0,70.0,79.0,83.0,https://cdn.sofifa.net/players/276/314/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,1771703638-3,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,A. Mandi,Lille OSC,CB,RCB,2024 ~ 2026,1991,Controlled lengthy,1897,201143.0,"186cm 6'1""",82kg 181lbs,"Aug 1, 2024",€5M,€29K,€9.5M,Normal (185+),313,326,322,320.0,323.0,229,64.0,393,CB,,,CB,,,,,,33,77.0,77.0,77.0,69.0,41.0,78.0,76.0,49.0,64.0,67.0,49.0,75.0,71.0,59.0,55.0,https://cdn.sofifa.net/players/201/143/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,1771703638-4,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,R. Bensebaini,Borussia Dortmund,CB,SUB,2023 ~ 2027,1995,Controlled lengthy,2122,224196.0,"187cm 6'2""",82kg 181lbs,"Jul 1, 2023",€17.5M,€52K,€29.8M,Normal (185+),363,357,355,378.0,371.0,244,54.0,449,CB,,,CB,Bruiser,,,,,30,80.0,80.0,80.0,73.0,72.0,84.0,77.0,57.0,78.0,67.0,62.0,68.0,82.0,72.0,73.0,https://cdn.sofifa.net/players/224/196/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,1771703638-5,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,R. Aït-Nouri,Manchester City,LWB,SUB,2025 ~ 2030,2001,Mostly explosive,2069,242641.0,"180cm 5'11""",70kg 154lbs,"Jun 9, 2025",€34.5M,€100K,€66.4M,Lean (170-185),323,373,407,332.0,339.0,235,60.0,444,LB,,,,First touch,Trickster,,,,24,81.0,85.0,82.0,80.0,50.0,66.0,79.0,48.0,87.0,72.0,58.0,72.0,84.0,85.0,84.0,https://cdn.sofifa.net/players/242/641/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,1771703638-6,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,N. Bentaleb,Lille OSC,CDM,SUB,2023 ~ 2026,1994,Controlled lengthy,2058,213296.0,"187cm 6'2""",78kg 172lbs,"Aug 28, 2023",€9M,€29K,€17.1M,Lean (185+),343,382,314,370.0,378.0,212,59.0,422,CDM,,,,Dead ball,Pinged pass,Long ball pass,Inventive,Aerial fortress,30,77.0,77.0,77.0,65.0,65.0,62.0,83.0,68.0,80.0,70.0,71.0,79.0,82.0,51.0,50.0,https://cdn.sofifa.net/players/213/296/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,1771703638-7,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,A. Zorgane,Union Saint-Gilloise,CM,LCM,2025 ~ 2027,2000,Controlled lengthy,2076,262925.0,"184cm 6'0""",77kg 170lbs,"Jul 1, 2025",€20M,€26K,€31.5M,Normal (170-185),348,373,316,398.0,365.0,223,53.0,437,CDM,,,,Tiki taka,Whipped pass,Inventive,Anticipate,Press proven,25,79.0,81.0,80.0,76.0,70.0,62.0,80.0,60.0,78.0,71.0,63.0,80.0,81.0,59.0,49.0,https://cdn.sofifa.net/players/262/925/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,1771703638-8,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,R. Mahrez,Al Ahli SFC,RM,RM,2023 ~ 2027,1991,Mostly explosive,2056,204485.0,"179cm 5'10""",67kg 148lbs,"Jul 28, 2023",€20M,€70K,€34M,Unique,377,416,409,373.0,326.0,101,54.0,426,RM,RM,,,Dead ball,Low driven shot,Incisive pass,Inventive,Technical,34,84.0,84.0,84.0,83.0,80.0,56.0,82.0,76.0,87.0,86.0,80.0,74.0,89.0,80.0,72.0,https://cdn.sofifa.net/players/204/485/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,1771703638-9,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,M. Amoura,VfL Wolfsburg,CAM,ST,2025 ~ 2029,2000,Explosive,2080,264697.0,"170cm 5'7""",61kg 134lbs,"Jul 1, 2025",€29.5M,€56K,€52.4M,Normal (170-),370,365,450,365.0,339.0,146,45.0,436,ST,,CAM,,Acrobatic,Gamechanger,Rapid,Quick step,,25,80.0,84.0,84.0,63.0,83.0,63.0,77.0,84.0,85.0,74.0,54.0,66.0,86.0,94.0,87.0,https://cdn.sofifa.net/players/264/697/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,1771703638-10,https://sofifa.com/squad/2417285?&showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=t1&showCol%5B%5D=phy&showCol%5B%5D=def&showCol%5B%5D=dri&showCol%5B%5D=pas&showCol%5B%5D=sho&showCol%5B%5D=pac&showCol%5B%5D=hc&showCol%5B%5D=bt&showCol%5B%5D=ir&showCol%5B%5D=dw&showCol%5B%5D=t2&showCol%5B%5D=sk&showCol%5B%5D=wk&showCol%5B%5D=bs&showCol%5B%5D=aw&showCol%5B%5D=gr&showCol%5B%5D=gp&showCol%5B%5D=gc&showCol%5B%5D=gh&showCol%5B%5D=gd&showCol%5B%5D=tg&showCol%5B%5D=sl&showCol%5B%5D=sa&showCol%5B%5D=ma&showCol%5B%5D=td&showCol%5B%5D=cm&showCol%5B%5D=pe&showCol%5B%5D=vi&showCol%5B%5D=po&showCol%5B%5D=in&showCol%5B%5D=ar&showCol%5B%5D=te&showCol%5B%5D=ln&showCol%5B%5D=ps1&showCol%5B%5D=ps2&showCol%5B%5D=sr&showCol%5B%5D=ju&showCol%5B%5D=tp&showCol%5B%5D=so&showCol%5B%5D=ba&showCol%5B%5D=st&showCol%5B%5D=sp&showCol%5B%5D=ag&showCol%5B%5D=ac&showCol%5B%5D=to&showCol%5B%5D=re&showCol%5B%5D=tc&showCol%5B%5D=at&showCol%5B%5D=cp&showCol%5B%5D=cj&showCol%5B%5D=fr&showCol%5B%5D=lo&showCol%5B%5D=bl&showCol%5B%5D=cu&showCol%5B%5D=ts&showCol%5B%5D=dr&showCol%5B%5D=sh&showCol%5B%5D=vo&showCol%5B%5D=he&showCol%5B%5D=fi&showCol%5B%5D=cr&showCol%5B%5D=ta&showCol%5B%5D=rc&showCol%5B%5D=le&showCol%5B%5D=jt&showCol%5B%5D=bp&showCol%5B%5D=bo&showCol%5B%5D=pf&showCol%5B%5D=gu&showCol%5B%5D=wi&showCol%5B%5D=hi&showCol%5B%5D=by&showCol%5B%5D=pi,H. Abdelli,Olympique de Marseille,CAM,SUB,2026 ~ 2030,1999,Controlled,2042,246297.0,"185cm 6'1""",81kg 179lbs,"Feb 2, 2026",€13M,€37K,€25.7M,Normal (185+),356,385,334,378.0,362.0,171,56.0,423,CAM,,CAM,,Long ball pass,Inventive,Technical,First touch,Relentless,25,77.0,79.0,79.0,73.0,69.0,63.0,78.0,73.0,82.0,75.0,73.0,74.0,81.0,66.0,57.0,https://cdn.sofifa.net/players/246/297/26_180.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
