Nation_code,n_star_players,star3_avg_score,star3_sum_score,star3_min_score,star3_max_score,star3_minutes90_sum,star3_players
GER,3,60.86336987687637,182.59010963062912,51.210165289256196,79.41545454545455,75.1,"Florian Wirtz (79.42), Jonas Hofmann (51.96), Joshua Kimmich (51.21)"
FRA,3,59.59127219245719,178.77381657737158,51.043157894736844,67.75065868263474,44.3,"Ousmane Dembélé (67.75), Kingsley Coman (59.98), Bradley Barcola (51.04)"
BEL,3,59.41695007569884,178.25085022709652,41.90944444444444,69.75411764705883,53.8,"Kevin De Bruyne (69.75), Jeremy Doku (66.59), Charles De Ketelaere (41.91)"
NED,3,57.90032350437273,173.7009705131182,47.14876712328767,67.47,83.7,"Jeremie Frimpong (67.47), Xavi Simons (59.08), Teun Koopmeiners (47.15)"
MAR,3,56.67716755442928,170.03150266328785,45.322238805970144,75.42302325581396,48.2,"Achraf Hakimi (75.42), Noussair Mazraoui (49.29), Azzedine Ounahi (45.32)"
ENG,3,55.77562880285486,167.32688640856458,52.465246913580245,58.00206751054852,81.8,"James Maddison (58.0), Jude Bellingham (56.86), Bukayo Saka (52.47)"
ESP,3,54.16545434329132,162.49636302987398,50.728132295719846,56.031176470588235,68.5,"Rodrigo Riquelme (56.03), Isco (55.74), Luis Alberto (50.73)"
BRA,3,52.83724454691846,158.51173364075538,50.059082125603865,57.91086580086579,66.2,"Samuel Lino (57.91), Gabriel Martinelli (50.54), Vinicius Júnior (50.06)"
POR,3,47.66548368701033,142.996451061031,45.615932203389825,49.300303030303034,64.6,"Raphaël Guerreiro (49.3), João Cancelo (48.08), Vitinha (45.62)"
JPN,3,46.575230413275456,139.72569123982638,40.31715481171548,53.12151515151515,63.9,"Kaoru Mitoma (53.12), Takumi Minamino (46.29), Takefusa Kubo (40.32)"
CRO,3,46.295348774575814,138.88604632372744,39.33455696202531,55.411489361702124,48.6,"Luka Modrić (55.41), Josip Stanišić (44.14), Ivan Rakitić (39.33)"
AUT,3,45.64620584590128,136.93861753770383,38.72585858585858,53.50945945945946,69.1,"Kevin Stöger (53.51), Konrad Laimer (44.7), Emir Karic (38.73)"
SCO,3,45.250179222064425,135.75053766619328,34.62225913621262,54.091914893617016,65.4,"Andrew Robertson (54.09), Tom Cairney (47.04), Lewis Ferguson (34.62)"
ARG,3,42.01480391391626,126.04441174174877,39.748163265306125,44.29411255411255,68.2,"Rodrigo De Paul (44.29), Nahuel Molina (42.0), Enzo Fernández (39.75)"
SUI,3,41.620303125821444,124.86090937746434,34.5109691629956,48.83281150159745,64.1,"Granit Xhaka (48.83), Ulisses Garcia (41.52), Kevin Mbabu (34.51)"
NOR,3,40.7763423865787,122.32902715973609,29.463458646616537,58.21597667638485,80.5,"Martin Ødegaard (58.22), Julian Ryerson (34.65), Kristian Thorstvedt (29.46)"
SEN,3,38.35650102382194,115.06950307146582,33.81432835820895,43.48343558282208,52.7,"Ismail Jakobs (43.48), Pape Matar Sarr (37.77), Krépin Diatta (33.81)"
URU,3,37.109728433951354,111.32918530185407,32.40114537444934,42.066315789473684,72.39999999999999,"Federico Valverde (42.07), Mathías Olivera (36.86), Darwin Núñez (32.4)"
GHA,3,37.1063769155107,111.3191307465321,33.379629629629626,42.218235294117655,65.5,"Ernest Nuamah (42.22), Iñaki Williams (35.72), Christopher Antwi-Adjei (33.38)"
CIV,3,36.796610822907404,110.3898324687222,33.80363636363636,39.55109489051095,60.4,"Guela Doué (39.55), Simon Adingra (37.04), Jonathan Bamba (33.8)"
USA,3,36.4166204829039,109.24986144871171,35.290743801652894,38.27411764705882,94.0,"Christian Pulisic (38.27), Weston McKennie (35.68), Antonee Robinson (35.29)"
COL,3,34.79467523585381,104.38402570756142,29.61,40.4654794520548,64.4,"Luis Díaz (40.47), Johan Mojica (34.31), Deiver Machado (29.61)"
ECU,3,34.695867120756375,104.08760136226913,21.65918238993711,48.25144927536232,62.1,"Pervis Estupiñán (48.25), Piero Hincapié (34.18), Moisés Caicedo (21.66)"
ALG,3,34.22647361647362,102.67942084942086,31.23471042471043,40.21,63.3,"Ramy Bensebaini (40.21), Rayan Aït-Nouri (31.23), Rayan Aït-Nouri (31.23)"
KOR,3,33.13844907105252,99.41534721315756,21.098936170212767,39.67119631901841,72.4,"Son Heung-min (39.67), Lee Kang-in (38.65), Lee Jae-sung (21.1)"
CAN,3,30.504455639043982,91.51336691713195,15.144926108374383,50.198646288209616,72.4,"Alphonso Davies (50.2), Jonathan David (26.17), Cyle Larin (15.14)"
EGY,3,30.48951790221072,91.46855370663216,16.884504504504505,46.91936170212766,76.0,"Mohamed Salah (46.92), Omar Marmoush (27.66), Mostafa Mohamed (16.88)"
JOR,1,30.017757009345797,30.017757009345797,30.017757009345797,30.017757009345797,21.4,Musa Al-Taamari (30.02)
PAN,1,25.78486486486487,25.78486486486487,25.78486486486487,25.78486486486487,11.1,Michael Amir Murillo (25.78)
