Nation_code,n_xi_players,xi_score_sum,xi_score_mean,xi_score_median,xi_score_min,xi_score_max,xi_minutes90_sum,starting_xi_players
FRA,11,559.1475619847497,50.831596544068155,48.977293233082705,44.30661971830986,67.75065868263474,197.6,"Ousmane Dembélé, Kingsley Coman, Bradley Barcola, Julien Ponceau, Kylian Mbappé, Adrien Thomasson, Jonathan Clauss, Malo Gusto, Angelo Fulgini, Rayan Cherki, Michael Olise"
ESP,11,554.3648061972507,50.39680056338643,50.24464052287582,47.15040816326531,56.031176470588235,241.1,"Rodrigo Riquelme, Isco, Luis Alberto, Álex Grimaldo, Oihan Sancet, Alejandro Balde, Fran Garcia, Rodri, Lucas Vázquez, Dani Olmo, Lamine Yamal"
GER,11,541.1431682041954,49.19483347310867,46.361525423728814,41.562543859649125,79.41545454545455,262.2,"Florian Wirtz, Jonas Hofmann, Joshua Kimmich, Pascal Groß, Leroy Sané, Toni Kroos, David Raum, Pascal Stenzel, Arne Maier, Maximilian Mittelstädt, Chris Führich"
ENG,11,527.3635327887638,47.94213934443307,46.76761904761905,40.17706896551724,58.00206751054852,218.1,"James Maddison, Jude Bellingham, Bukayo Saka, Jack Grealish, Noni Madueke, Jadon Sancho, Curtis Jones, Trent Alexander-Arnold, Raheem Sterling, Harvey Elliott, Cole Palmer"
NED,11,481.3690691516857,43.760824468335066,42.034285714285716,32.042258064516126,67.47,226.9,"Jeremie Frimpong, Xavi Simons, Teun Koopmeiners, Ryan Gravenberch, Frenkie de Jong, Denzel Dumfries, Tijjani Reijnders, Ian Maatsen, Stijn Spierings, Donyell Malen, Hans Hateboer"
BRA,11,475.58646436928785,43.23513312448071,40.15550200803214,37.27034013605442,57.91086580086579,231.6,"Samuel Lino, Gabriel Martinelli, Vinicius Júnior, Rodrygo, Sávio, Yan Couto, Raphinha, Willian, Rogério, Vanderson, Antony"
POR,11,466.12338919808656,42.374853563462416,42.249930069930066,38.03886597938144,49.300303030303034,221.2,"Raphaël Guerreiro, João Cancelo, Vitinha, Rafael Leão, David Pereira da Costa, Bernardo Silva, Mário Rui, João Félix, Pedro Neto, Pedro Neto, Aurélio Buta"
MAR,11,436.4353045724994,39.67593677931813,34.30341463414634,23.186923076923073,75.42302325581396,169.7,"Achraf Hakimi, Noussair Mazraoui, Azzedine Ounahi, Amine Adli, Brahim Díaz, Yassine Kechta, Ilias Akhomach, Amine Harit, Oussama Targhalline, Amir Richardson, Sofyan Amrabat"
BEL,11,417.78362903639584,37.98032991239962,31.72571428571429,25.507976878612716,69.75411764705883,204.7,"Kevin De Bruyne, Jeremy Doku, Charles De Ketelaere, Leandro Trossard, Dodi Lukebakio, Alexis Saelemaekers, Cyril Ngonge, Loïs Openda, Thibault De Smet, Arne Engels, Largie Ramazani"
ARG,11,403.68836405488554,36.69894218680778,35.6623645320197,32.3114553314121,44.29411255411255,279.2,"Rodrigo De Paul, Nahuel Molina, Enzo Fernández, Alejandro Garnacho, Paulo Dybala, Exequiel Palacios, Nicolás González, Lucas Ocampos, Nicolás Tagliafico, Alexis Mac Allister, Matìas Soulé"
AUT,11,385.12807007258317,35.0116427338712,31.26412844036697,28.221384083044985,53.50945945945946,251.3,"Kevin Stöger, Konrad Laimer, Emir Karic, Xaver Schlager, Valentino Lazaro, Marcel Sabitzer, Phillipp Mwene, Christopher Trimmel, Christoph Baumgartner, Muhammed Cham, Romano Schmid"
CRO,11,383.19511068298516,34.83591915299865,33.79409836065574,25.071311475409836,55.411489361702124,236.2,"Luka Modrić, Josip Stanišić, Ivan Rakitić, Joško Gvardiol, Mario Pašalić, Andrej Kramarić, Mateo Kovačić, Lovro Majer, Nikola Vlašić, Josip Juranović, Domagoj Bradarić"
JPN,11,381.39755994747543,34.67250544977049,33.69078431372549,20.639424083769633,53.12151515151515,230.4,"Kaoru Mitoma, Takumi Minamino, Takefusa Kubo, Daichi Kamada, Junya Ito, Keito Nakamura, Ritsu Doan, Takehiro Tomiyasu, Takuma Asano, Hiroki Ito, Wataru Endo"
SUI,11,346.41319566236365,31.492108696578512,27.873705179282865,24.891971326164875,48.83281150159745,242.6,"Granit Xhaka, Ulisses Garcia, Kevin Mbabu, Silvan Widmer, Dan Ndoye, Vincent Sierro, Ruben Vargas, Djibril Sow, Remo Freuler, Michel Aebischer, Manuel Akanji"
SCO,11,345.4289689106037,31.40263353732761,29.598771929824558,18.2241592920354,54.091914893617016,217.2,"Andrew Robertson, Tom Cairney, Lewis Ferguson, Billy Gilmour, Kieran Tierney, Elliot Anderson, Ryan Christie, Nathan Patterson, Josh Doig, John McGinn, Jacob Brown"
CAN,3,91.51336691713195,30.504455639043982,26.169794520547946,15.144926108374383,50.198646288209616,72.4,"Alphonso Davies, Jonathan David, Cyle Larin"
EGY,3,91.46855370663216,30.48951790221072,27.6646875,16.884504504504505,46.91936170212766,76.0,"Mohamed Salah, Omar Marmoush, Mostafa Mohamed"
CIV,11,333.13201620928965,30.28472874629906,28.80056680161944,24.191300578034678,39.55109489051095,237.1,"Guela Doué, Simon Adingra, Jonathan Bamba, Jeremie Boga, Odilon Kossonou, Hassane Kamara, Christian Kouamé, Wilfried Singo, Christopher Operi, Emmanuel Agbadou, Evann Guessand"
SEN,11,331.2745453940208,30.115867763092798,31.288888888888888,20.611562499999998,43.48343558282208,212.8,"Ismail Jakobs, Pape Matar Sarr, Krépin Diatta, Youssouf Sabaly, Ismaila Sarr, Iliman Ndiaye, Nampalys Mendy, Nicolas Jackson, Lamine Camara, Idrissa Gana Gueye, Habib Diarra"
JOR,1,30.017757009345797,30.017757009345797,30.017757009345797,30.017757009345797,30.017757009345797,21.4,Musa Al-Taamari
URU,11,330.04985729318366,30.004532481198513,29.12858407079646,23.134817518248177,42.066315789473684,217.1,"Federico Valverde, Mathías Olivera, Darwin Núñez, Matías Vecino, Rodrigo Bentancur, Matías Viña, Nahitan Nández, Alfonso Espino, Damián Suárez, Giovanni González, Facundo Pellistri"
ECU,4,119.97366196832972,29.99341549208243,27.918076043453404,15.886060606060605,48.25144927536232,95.1,"Pervis Estupiñán, Piero Hincapié, Moisés Caicedo, Willian Pacho"
USA,11,319.5237428798356,29.04761298907596,27.195602836879434,21.277272727272724,38.27411764705882,237.3,"Christian Pulisic, Weston McKennie, Antonee Robinson, Luca de la Torre, Folarin Balogun, Brenden Aaronson, Kevin Paredes, Timothy Weah, Yunus Musah, Joe Scally, Emmanuel Sabbi"
GHA,11,314.4938099134372,28.590346355767018,30.264761904761905,19.065739644970414,42.218235294117655,217.0,"Ernest Nuamah, Iñaki Williams, Christopher Antwi-Adjei, Mohammed Kudus, Antoine Semenyo, Alfred Duncan, Tariq Lamptey, Jordan Ayew, Mohammed Salisu, Caleb Ekuban, Salis Abdul Samed"
ALG,11,307.1370604538456,27.9215509503496,28.21943396226415,15.713870967741936,40.21,207.5,"Ramy Bensebaini, Rayan Aït-Nouri, Rayan Aït-Nouri, Ismaël Bennacer, Amine Gouiri, Fares Chaïbi, Hicham Boudaoui, Mehdi Zeffane, Kévin Van Den Kerkhof, Nabil Bentaleb, Aïssa Mandi"
NOR,11,303.11426448867195,27.555842226242905,23.32449101796407,17.95,58.21597667638485,263.5,"Martin Ødegaard, Julian Ryerson, Kristian Thorstvedt, Aron Dønnum, Marcus Pedersen, Sander Berge, Waren Kamanzi, Alexander Sørloth, Erling Haaland, Morten Thorsby, Jørgen Strand Larsen"
KOR,6,158.25297181239975,26.375495302066625,20.732961235791315,19.23531914893617,39.67119631901841,141.3,"Son Heung-min, Lee Kang-in, Lee Jae-sung, Kim Min-jae, Hwang Hee-chan, Hwang Hee-chan"
PAN,1,25.78486486486487,25.78486486486487,25.78486486486487,25.78486486486487,25.78486486486487,11.1,Michael Amir Murillo
COL,11,276.7088848402803,25.15535316729821,25.4875,12.410802919708031,40.4654794520548,215.2,"Luis Díaz, Johan Mojica, Deiver Machado, Daniel Muñoz, Juan David Cabal, Duván Zapata, Rafael Borré, Luis Javier Suárez, Jefferson Lerma, Jhon Lucumí, Yerson Mosquera"
TUN,5,108.41853445029876,21.683706890059753,22.081791044776118,13.427755102040818,31.476134453781512,86.5,"Aïssa Laïdouni, Wahbi Khazri, Hamza Rafia, Ellyes Skhiri, Montassar Talbi"
PAR,3,64.04555235172145,21.34851745057382,17.34242616033755,15.824754098360655,30.878372093023252,69.6,"Miguel Almirón, Antonio Sanabria, Omar Alderete"
NZL,2,40.787416690134236,20.393708345067118,20.393708345067118,16.30930348258706,24.47811320754717,41.3,"Liberato Cacace, Chris Wood"
RSA,1,20.340805687203787,20.340805687203787,20.340805687203787,20.340805687203787,20.340805687203787,21.1,Lyle Foster
HAI,2,38.11431767337808,19.05715883668904,19.05715883668904,17.407651006711408,20.70666666666667,44.8,"Jean-Kevin Duverne, Danley Jean-Jacques"
UZB,1,18.463076923076922,18.463076923076922,18.463076923076922,18.463076923076922,18.463076923076922,10.4,Eldor Shomurodov
CPV,1,18.139183673469386,18.139183673469386,18.139183673469386,18.139183673469386,18.139183673469386,29.4,Logan Costa
MEX,6,85.34182528044057,14.223637546740095,15.857603001625083,0.0,26.598024691358024,130.7,"Julian Araujo, Raúl Jiménez, Johan Vásquez, Edson Álvarez, César Montes, Guillermo Ochoa"
