Player,Nation,Nation_code,Pos,Pos_group,Age,Playing Time 90s,weighted_score_norm2,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes xG,Per 90 Minutes npxG,Per 90 Minutes xAG,PrgC_p90,PrgP_p90,PrgR_p90,CrdY_p90,CrdR_p90
Florian Wirtz,de GER,GER,MF,MID,20.0,26.4,79.41545454545455,0.42,0.42,0.34,0.31,0.29,5.2272727272727275,8.484848484848484,11.590909090909092,0.11363636363636365,0.0
Achraf Hakimi,ma MAR,MAR,DF,DEF,24.0,21.5,75.42302325581396,0.19,0.23,0.2,0.2,0.24,3.9069767441860463,10.13953488372093,10.69767441860465,0.13953488372093023,0.0
Kevin De Bruyne,be BEL,BEL,MF,MID,32.0,13.6,69.75411764705883,0.29,0.74,0.18,0.18,0.85,3.4558823529411766,8.161764705882353,9.779411764705882,0.14705882352941177,0.0
Ousmane Dembélé,fr FRA,FRA,"MF,FW",FWD,26.0,16.7,67.75065868263474,0.18,0.48,0.26,0.26,0.4,9.580838323353294,7.9640718562874255,14.790419161676647,0.0,0.0
Jeremie Frimpong,nl NED,NED,DF,DEF,22.0,25.0,67.47,0.36,0.28,0.33,0.33,0.23,6.12,1.96,13.92,0.24,0.0
Jeremy Doku,be BEL,BEL,"FW,MF",FWD,21.0,17.7,66.58728813559324,0.17,0.45,0.14,0.14,0.26,12.31638418079096,3.2203389830508478,16.666666666666668,0.16949152542372883,0.0
Kingsley Coman,fr FRA,FRA,FW,FWD,27.0,12.4,59.98,0.24,0.24,0.22,0.22,0.31,6.048387096774193,5.806451612903226,16.93548387096774,0.08064516129032258,0.0
Xavi Simons,nl NED,NED,MF,MID,20.0,29.5,59.08220338983051,0.27,0.37,0.28,0.23,0.33,5.11864406779661,6.338983050847458,7.322033898305085,0.3728813559322034,0.03389830508474576
Martin Ødegaard,no NOR,NOR,MF,MID,24.0,34.3,58.21597667638485,0.23,0.29,0.22,0.17,0.28,2.653061224489796,10.029154518950438,5.889212827988339,0.05830903790087464,0.0
James Maddison,eng ENG,ENG,MF,MID,26.0,23.7,58.00206751054852,0.17,0.38,0.27,0.27,0.25,2.4472573839662446,9.451476793248945,6.582278481012659,0.2109704641350211,0.0
Samuel Lino,br BRA,BRA,"DF,MF",MID,23.0,23.1,57.91086580086579,0.17,0.22,0.24,0.24,0.21,5.670995670995671,3.6363636363636362,9.307359307359306,0.04329004329004329,0.0
Jude Bellingham,eng ENG,ENG,MF,MID,20.0,25.7,56.8595719844358,0.74,0.23,0.43,0.4,0.21,3.3073929961089497,7.626459143968872,6.88715953307393,0.19455252918287938,0.038910505836575876
Rodrigo Riquelme,es ESP,ESP,"DF,MF",MID,23.0,17.0,56.031176470588235,0.18,0.29,0.16,0.16,0.18,5.117647058823529,3.1176470588235294,9.764705882352942,0.058823529411764705,0.0
Isco,es ESP,ESP,MF,MID,31.0,25.8,55.737054263565895,0.31,0.19,0.32,0.26,0.25,3.875968992248062,8.372093023255813,5.62015503875969,0.38759689922480617,0.0
