Player,Nation_code,Age,Pos,Pos_group,Playing Time 90s,weighted_score_norm2,weighted_score_robust_z
Florian Wirtz,GER,20.0,MF,MID,26.4,79.41545454545455,58.59244271763402
Kevin De Bruyne,BEL,32.0,MF,MID,13.6,69.75411764705883,48.84387409005516
Xavi Simons,NED,20.0,MF,MID,29.5,59.08220338983051,45.98670683514615
Achraf Hakimi,MAR,24.0,DF,DEF,21.5,75.42302325581396,43.82434482538725
James Maddison,ENG,26.0,MF,MID,23.7,58.00206751054852,39.895842950915664
Álex Grimaldo,ESP,27.0,DF,DEF,30.9,50.45132686084143,39.644403408713565
Martin Ødegaard,NOR,24.0,MF,MID,34.3,58.21597667638485,39.358847490032915
Dani Olmo,ESP,25.0,MF,MID,16.1,47.40416149068322,38.878179203715696
Kevin Stöger,AUT,29.0,MF,MID,29.6,53.50945945945946,38.14278638861319
Jude Bellingham,ENG,20.0,MF,MID,25.7,56.8595719844358,37.85775791755801
Isco,ESP,31.0,MF,MID,25.8,55.737054263565895,37.752856244303715
Jonas Hofmann,GER,31.0,MF,MID,24.5,51.96448979591837,37.635209492733146
Samuel Lino,BRA,23.0,"DF,MF",MID,23.1,57.91086580086579,35.93696222110488
Andrew Robertson,SCO,29.0,DF,DEF,18.8,54.091914893617016,35.36899119236777
Rodrigo Riquelme,ESP,23.0,"DF,MF",MID,17.0,56.031176470588235,33.72275869996522
Jeremie Frimpong,NED,22.0,DF,DEF,25.0,67.47,33.33560654733737
Luka Modrić,CRO,37.0,MF,MID,18.8,55.411489361702124,33.06724090842798
Mohamed Salah,EGY,31.0,FW,FWD,28.2,46.91936170212766,32.00237417922785
Takumi Minamino,JPN,28.0,MF,MID,23.5,46.287021276595745,31.747973278730253
Kylian Mbappé,FRA,24.0,FW,FWD,24.0,49.98833333333334,31.330833950729403
Pervis Estupiñán,ECU,25.0,DF,DEF,13.8,48.25144927536232,30.658264347428652
Pascal Groß,GER,32.0,"MF,DF",MID,34.6,50.9950289017341,29.597029186625466
Ousmane Dembélé,FRA,26.0,"MF,FW",FWD,16.7,67.75065868263474,29.457880195369064
Lucas Vázquez,ESP,32.0,DF,DEF,15.8,48.20886075949367,29.040294423634133
Teun Koopmeiners,NED,25.0,MF,MID,29.2,47.14876712328767,29.007562834037994
Michael Olise,FRA,21.0,"FW,MF",FWD,14.2,44.30661971830986,28.75350593484488
Luis Alberto,ESP,30.0,MF,MID,25.7,50.728132295719846,28.65339475163379
