team_A,team_B,P_team_A_wins,P_team_B_wins
NED,USA,1.0,0.0
NED,URU,1.0,0.0
NED,TUN,1.0,0.0
NED,SUI,1.0,0.0
NED,SEN,1.0,0.0
NED,SCO,1.0,0.0
NED,RSA,1.0,0.0
NED,PAR,1.0,0.0
NED,PAN,1.0,0.0
NED,NZL,1.0,0.0
NED,NOR,1.0,0.0
ARG,JOR,1.0,0.0
ARG,HAI,1.0,0.0
AUT,EGY,1.0,0.0
ARG,EGY,1.0,0.0
ARG,ECU,1.0,0.0
ARG,CPV,1.0,0.0
ARG,COL,1.0,0.0
ARG,CAN,1.0,0.0
ARG,ALG,1.0,0.0
ARG,TUN,1.0,0.0
AUT,PAR,1.0,0.0
ARG,RSA,1.0,0.0
ARG,PAR,1.0,0.0
ARG,PAN,1.0,0.0
ARG,NZL,1.0,0.0
ARG,MEX,1.0,0.0
ARG,KOR,1.0,0.0
NOR,HAI,1.0,0.0
NED,JOR,1.0,0.0
NED,HAI,1.0,0.0
NED,GHA,1.0,0.0
NED,EGY,1.0,0.0
NED,ECU,1.0,0.0
NED,CPV,1.0,0.0
NED,COL,1.0,0.0
NED,UZB,1.0,0.0
AUT,HAI,1.0,0.0
BEL,COL,1.0,0.0
BEL,CIV,1.0,0.0
BEL,CAN,1.0,0.0
AUT,ECU,1.0,0.0
AUT,CPV,1.0,0.0
AUT,COL,1.0,0.0
AUT,CAN,1.0,0.0
AUT,ALG,1.0,0.0
ARG,UZB,1.0,0.0
NED,CIV,1.0,0.0
NED,CAN,1.0,0.0
NED,ALG,1.0,0.0
NED,MEX,1.0,0.0
NED,KOR,1.0,0.0
NED,JPN,1.0,0.0
SEN,TUN,1.0,0.0
POR,RSA,1.0,0.0
POR,PAR,1.0,0.0
POR,PAN,1.0,0.0
POR,NZL,1.0,0.0
POR,NOR,1.0,0.0
POR,MEX,1.0,0.0
AUT,PAN,1.0,0.0
AUT,NZL,1.0,0.0
AUT,MEX,1.0,0.0
AUT,KOR,1.0,0.0
AUT,JOR,1.0,0.0
AUT,RSA,1.0,0.0
BEL,MEX,1.0,0.0
BEL,KOR,1.0,0.0
POR,USA,1.0,0.0
POR,URU,1.0,0.0
POR,TUN,1.0,0.0
POR,SUI,1.0,0.0
POR,SEN,1.0,0.0
SEN,RSA,1.0,0.0
SEN,PAR,1.0,0.0
SEN,NZL,1.0,0.0
NOR,CPV,1.0,0.0
SEN,MEX,1.0,0.0
SEN,HAI,1.0,0.0
MAR,UZB,1.0,0.0
MAR,USA,1.0,0.0
MAR,TUN,1.0,0.0
BEL,GHA,1.0,0.0
BEL,EGY,1.0,0.0
BEL,ECU,1.0,0.0
BEL,CPV,1.0,0.0
BRA,ALG,1.0,0.0
BEL,UZB,1.0,0.0
BEL,ALG,1.0,0.0
AUT,UZB,1.0,0.0
AUT,TUN,1.0,0.0
SEN,UZB,1.0,0.0
MAR,RSA,1.0,0.0
MAR,PAR,1.0,0.0
MAR,PAN,1.0,0.0
MAR,NZL,1.0,0.0
MAR,NOR,1.0,0.0
MAR,MEX,1.0,0.0
MAR,KOR,1.0,0.0
BEL,SEN,1.0,0.0
BEL,RSA,1.0,0.0
BEL,PAR,1.0,0.0
BEL,PAN,1.0,0.0
BEL,NZL,1.0,0.0
BEL,NOR,1.0,0.0
BRA,JPN,1.0,0.0
BRA,JOR,1.0,0.0
BRA,HAI,1.0,0.0
BRA,GHA,1.0,0.0
BEL,JOR,1.0,0.0
BEL,HAI,1.0,0.0
MAR,JOR,1.0,0.0
MAR,HAI,1.0,0.0
MAR,EGY,1.0,0.0
MAR,ECU,1.0,0.0
MAR,CPV,1.0,0.0
MAR,COL,1.0,0.0
MAR,CAN,1.0,0.0
MAR,ALG,1.0,0.0
BRA,EGY,1.0,0.0
BRA,ECU,1.0,0.0
BRA,CPV,1.0,0.0
BRA,COL,1.0,0.0
BRA,CIV,1.0,0.0
BRA,CAN,1.0,0.0
BRA,USA,1.0,0.0
BRA,URU,1.0,0.0
BRA,TUN,1.0,0.0
BRA,SUI,1.0,0.0
BEL,USA,1.0,0.0
BEL,URU,1.0,0.0
BEL,TUN,1.0,0.0
BRA,SCO,1.0,0.0
BRA,RSA,1.0,0.0
BRA,PAR,1.0,0.0
BRA,PAN,1.0,0.0
BRA,NZL,1.0,0.0
BRA,NOR,1.0,0.0
BRA,MEX,1.0,0.0
BRA,KOR,1.0,0.0
SEN,CPV,1.0,0.0
NOR,RSA,1.0,0.0
NOR,PAR,1.0,0.0
NOR,NZL,1.0,0.0
NOR,MEX,1.0,0.0
BRA,UZB,1.0,0.0
USA,UZB,1.0,0.0
USA,RSA,1.0,0.0
BRA,SEN,1.0,0.0
SUI,HAI,1.0,0.0
SUI,CPV,1.0,0.0
JPN,UZB,1.0,0.0
JPN,TUN,1.0,0.0
JPN,RSA,1.0,0.0
JPN,PAR,1.0,0.0
JPN,PAN,1.0,0.0
JPN,NZL,1.0,0.0
JPN,MEX,1.0,0.0
JPN,HAI,1.0,0.0
JPN,CPV,1.0,0.0
NOR,UZB,1.0,0.0
SCO,UZB,1.0,0.0
CIV,PAR,1.0,0.0
USA,NZL,1.0,0.0
SUI,PAR,1.0,0.0
SUI,PAN,1.0,0.0
SUI,NZL,1.0,0.0
SUI,MEX,1.0,0.0
SUI,TUN,1.0,0.0
SUI,RSA,1.0,0.0
SCO,TUN,1.0,0.0
SCO,RSA,1.0,0.0
