Nation_code,n_depth_players,depth12_23_avg_score,depth12_23_sum_score,depth12_23_min_score,depth12_23_max_score,depth12_23_minutes90_sum,depth12_23_players
FRA,12,41.87501519107331,502.5001822928797,40.452352941176464,43.71738317757009,249.7,"Ruben Aguilar (43.72), Rémy Cabella (43.18), Désiré Doué (42.74), Junior Dina Ebimbe (42.01), Théo Le Bris (41.93), Adrien Truffert (41.77), Romain Del Castillo (41.67), Jordan Veretout (41.52), Maxence Caqueret (41.32), Andy Diouf (41.13), Quentin Merlin (41.07), Enzo Le Fée (40.45)"
ESP,12,41.439343906496,497.272126877952,38.30157024793389,47.114885496183206,203.3,"Juanlu Sánchez (47.11), Alfonso Pedraza (45.3), Nico Williams (43.08), Pep Chavarría (43.07), Óliver Torres (41.43), Jonathan Viera (40.75), Javi Galán (40.63), Jesús Navas (40.15), Rodri (39.79), Marcos Llorente (39.02), Óscar de Marcos (38.64), Carlos Soler (38.3)"
GER,12,38.75799793463908,465.09597521566894,36.28237623762376,41.305897435897435,249.79999999999998,"Jamal Musiala (41.31), Marius Wolf (40.46), Mitchell Weiser (40.44), Leon Goretzka (39.94), Ansgar Knauff (39.51), İlkay Gündoğan (39.31), Brajan Gruda (38.88), Leonardo Bittencourt (38.42), Thomas Müller (37.12), Benjamin Henrichs (36.72), Niklas Schmidt (36.71), Karim Adeyemi (36.28)"
ENG,12,36.768141198369605,441.21769438043526,34.94970873786408,39.85709677419355,290.5,"Kieran Trippier (39.86), Kyle Walker (39.77), Joe Gomez (37.75), Valentino Livramento (37.32), Phil Foden (37.19), Declan Rice (36.49), Ben White (36.33), Ainsley Maitland-Niles (36.18), Angel Gomes (35.45), Jamie Bynoe-Gittens (34.97), Ruben Loftus-Cheek (34.96), Callum Hudson-Odoi (34.95)"
BRA,12,33.99718536880163,407.9662244256196,29.36791666666667,36.815737704918035,258.0,"Ângelo Borges (36.82), João Pedro (36.51), Junior Messias (36.43), Bruno Guimarães (36.39), Paulo Azzi (35.42), Andreas Pereira (34.75), Neto Borges (33.48), Renan Lodi (33.29), Ismaily (32.8), Felipe Anderson (31.47), Gabriel Jesus (31.24), Carlos Augusto (29.37)"
POR,12,30.69801705062645,368.3762046075174,23.626338028169016,37.95851711026616,283.3,"Tiago santos (37.96), Diogo Jota (35.65), Gonçalo Guedes (35.37), Bruno Fernandes (35.11), Nélson Semedo (34.2), Nélson Semedo (34.2), Dany Mota (29.57), Tiago Tomás (27.11), Vitinha (26.92), Diogo Dalot (24.64), Danilo Pereira (24.02), Rúben Dias (23.63)"
ARG,12,27.2601265199183,327.12151823901957,22.941711229946527,30.47071895424837,254.1,"Óscar Trejo (30.47), Ángel Correa (30.35), Valentin Carboni (29.86), Facundo Medina (28.83), Leandro Paredes (28.09), Martín Payero (27.79), Julián Álvarez (26.87), Marcos Acuña (25.94), Lucas Martínez Quarta (25.59), Juan Foyth (25.26), Lautaro Martínez (25.13), Valentín Castellanos (22.94)"
NED,12,25.11533358563548,301.38400302762574,21.96402985074627,31.57349726775956,250.3,"Cody Gakpo (31.57), Joël Veltman (27.82), Rick Karsdorp (26.88), Abdou Harroui (26.29), Daley Blind (25.44), Gustavo Hamer (25.15), Marten de Roon (23.99), Justin Kluivert (23.41), Matthijs de Ligt (23.31), Joshua Zirkzee (23.13), Tijjani Noslin (22.43), Kevin Strootman (21.96)"
BEL,12,20.784837392968903,249.41804871562684,13.211452991452992,25.140980392156862,238.3,"Thomas Foket (25.14), Timothy Castagne (24.7), Arthur Theate (24.52), Albert Sambi Lokonga (24.46), Olivier Deman (23.62), Romelu Lukaku (23.46), Youri Tielemans (23.2), Amadou Onana (22.07), Senne Lynen (16.06), Maximiliano Caufriez (15.3), Aster Vranckx (13.67), Ameen Al-Dakhil (13.21)"
AUT,12,19.446863512193307,233.3623621463197,9.644809160305343,25.977014925373133,251.7,"Stefan Posch (25.98), Florian Grillitsch (25.03), Maximilian Wöber (24.2), Florian Kainz (23.02), Karim Onisiwo (20.82), Mathias Honsak (19.19), Michael Gregoritsch (18.93), Dejan Ljubicic (17.79), David Alaba (17.29), Kevin Danso (16.48), Philipp Lienhart (14.99), Christoph Klarer (9.64)"
SCO,2,15.638839696949471,31.277679393898943,15.155355450236966,16.122323943661975,35.3,"Oliver McBurnie (16.12), Scott McTominay (15.16)"
CRO,9,15.616060404087271,140.54454363678545,9.079276018099547,22.22574468085106,199.5,"Milan Badelj (22.23), Kristijan Jakić (20.21), Toma Bašić (18.44), Bartol Franjić (16.81), Ante Budimir (15.39), Marin Pongračić (15.33), Matej Maglica (12.04), Martin Erlic (11.02), Duje Ćaleta-Car (9.08)"
